Blender 2.82 (sub 7)
Read prefs: /home/isaackang/.config/blender/2.82/config/userpref.blend
Info: Deleted 3 object(s)
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 64%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 65%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 66%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 68%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 69%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 70%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 71%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 72%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 73%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 74%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 76%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 77%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 78%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 79%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 80%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 81%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 82%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 83%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 85%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 86%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 87%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 88%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 89%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 90%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 91%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 93%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 94%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 95%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 96%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 97%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 98%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 99%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Visibility computations 100%
Fra:1 Mem:92.54M (0.00M, Peak 176.17M) | Time:00:00.26 | Freestyle: Stroke rendering
Fra:1 Mem:259.06M (0.00M, Peak 259.06M) | Time:00:00.02 | Syncing Camera
Fra:1 Mem:259.06M (0.00M, Peak 259.06M) | Time:00:00.02 | Syncing 0ffffffffOB
Fra:1 Mem:259.22M (0.00M, Peak 259.38M) | Time:00:00.04 | Rendering 1 / 64 samples
Fra:1 Mem:259.08M (0.00M, Peak 259.38M) | Time:00:00.11 | Rendering 26 / 64 samples
Fra:1 Mem:259.08M (0.00M, Peak 259.38M) | Time:00:00.14 | Rendering 51 / 64 samples
Fra:1 Mem:259.08M (0.00M, Peak 259.38M) | Time:00:00.16 | Rendering 64 / 64 samples
Fra:1 Mem:92.29M (0.00M, Peak 259.38M) | Time:00:00.52 | Sce: Scene Ve:0 Fa:0 La:0
Saved: '/home/isaackang/D/drive/Robot/Codes/Mission2_Dataset/intermediate_results/VIEWS/1-2/000001.png'
 Time: 00:00.73 (Saving: 00:00.21)

Fra:1 Mem:175.88M (0.00M, Peak 175.90M) | Time:00:00.02 | Syncing Camera
Fra:1 Mem:175.88M (0.00M, Peak 175.90M) | Time:00:00.02 | Syncing Origin
Fra:1 Mem:175.89M (0.00M, Peak 175.90M) | Time:00:00.02 | Syncing 0@part1
Fra:1 Mem:175.91M (0.00M, Peak 176.00M) | Time:00:00.02 | Syncing 1@part2
Fra:1 Mem:175.97M (0.00M, Peak 176.18M) | Time:00:00.03 | Rendering 1 / 64 samples
Fra:1 Mem:175.91M (0.00M, Peak 176.18M) | Time:00:00.11 | Rendering 26 / 64 samples
Fra:1 Mem:175.91M (0.00M, Peak 176.18M) | Time:00:00.14 | Rendering 51 / 64 samples
Fra:1 Mem:175.91M (0.00M, Peak 176.18M) | Time:00:00.16 | Rendering 64 / 64 samples
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Mesh loading
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: View map creation
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 0%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 1%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 2%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 3%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 4%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 5%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 6%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 7%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 8%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 9%
Fra:1 Mem:92.55M (0.00M, Peak 176.18M) | Time:00:00.25 | Freestyle: Visibility computations 10%
